Das Accessoire,accessory,,
Die AG /= Aktiengesellschaft,ltd. (= limited company),,
Die Altenpflege,care of the elderly,,
Die Anfahrt,arrival,,
der/die Anlagenmechaniker/in,plant mechanic,,
Das Arbeitsamt,job centre,,
Die Arbeitsstätte,workplace,,
Die Automatisierungstechnik,automation technology,,
Die Automobilindustrie,automotive industry,,
Der Automobilzulieferer,automotive supplier,,
Der Bankettsaal,banquet hall,,
Die Baustelle,construction site,,
Die Betreuung,mentoring,,
Der Betrieb,operation,,
Der Bezirk,district,,
der/die Direktor/in,director,,
der/die Dolmetscher/in,interpreter,,
Die EC-Karte,ec card,,
Der Einzelhandel,retail,,
der/die Elektriker/in,electrician,,
Der Elektromarkt,electrical store,,
Der Export,export,,
Die Fachübersetzung,specialist translation,,
Der Fahrdienst,transport service,,
Die Fahrzeugsicherheit,vehicle safety,,
Die Fertigungstechnik,manufacturing technology,,
der/die Freiberufler/in,freelancer,,
Das Frühstücksbüfett,breakfast buffet,,
Die Garantieleistung,warranty coverage,,
Die Gartenterrasse,garden patio,,
Die Geborgenheit,feeling of security,,
Die Gehminute,(no. of) minute’s walk,,
Das Großhandelsunternehmen,wholesale company,,
Der Großraum,greater area,,
der/die Gynäkologe/Gynäkologin,gynaecologist,,
der/die Händler/in,distributor,,
Das Heim,home,,
Die Heizungsinstallation,heating system,,
der/die Helfer/in,helper,,
der/die Hersteller/in,manufacturer,,
Die Homepage,home page,,
der/die Hotelkaufmann/Hotelkauffrau,hotel manager,,
Die HR /= Human Resources /Pl.,hr (= human resources) (pl.),,
Die IHK /= Industrie- und Handelskammer,cic (= chamber of industry and commerce),,
der/die Investor/in,investor,,
Die Karriere,career,,
Die Klinik,clinic,,
Die Konferenz,conference,,
Das Konferenzzentrum,conference centre,,
der/die Kundenberater/in,customer service advisor,,
Der Kundenservice,customer service,,
Die Lebensqualität,quality of life,,
Das Leistungsspektrum,range of services,,
Das Lektorat,proofreading,,
Das Logo,logo,,
Die Marke,brand,,
Der Master,master’s degree,,
Das Menü,menu,,
Die Montage,assembly,,
Die Nachhaltigkeit,sustainability,,
Das Netz,web,,
Der Notfall,emergency,,
Das Notfallzentrum,emergency centre,,
Die Orthopädie,orthopaedics,,
Der Personalkaufmann,human resource manager,,
Die Pflege,care,,
der/die Pfleger/in,carer,,
Die Presse,press,,
Die Produktvielfalt,product diversity,,
Der Rahmen,frame,,
Die Rezeption,reception,,
Das Rohr,pipe,,
der/die Sachbearbeiter/in,person responsible,,
Die Sanitärfirma,sanitary service company,,
Das Schriftstück,written document,,
Das Seniorenstift,care home for the elderly,,
Die Servicekraft,waiter/waitress,,
der/die Spezialist/in,specialist,,
Die Suite,suite,,
Die Technik,technology,,
Die Technikerschule,technical school,,
Die Textilfirma,textile company,,
Die Textilien /Pl.,textiles (pl.),,
Das Tischtennis,table tennis,,
der/die Übersetzer/in,translator,,
Der Übersetzungsdienst,translation agency,,
Die Übersetzungsleistung,translation service,,
Die Unfallchirurgie,emergency surgery,,
Der Wartungsdienst,maintenance service,,
abhängen,to hang around,,
abwarten,to wait for/until,,
altmodisch,old-fashioned,,
angemessen,appropriate,,
annehmen,to accept,,
Die Anredeform/Anredeformen,form of address,,
ansprechen,to address/bring up,,
Die Arbeitsatmosphäre,working atmosphere,,
Das Arbeitsleben,working life,,
arbeitslos,unemployed,,
Der Arbeitsmarkt/Arbeitsmärkte,job market,,
Das Argument/Argumente,argument,,
Die Atmosphäre,atmosphere,,
Der Ausbildungsberuf,skilled occupation,,
Die Ausbildungsform,form of training,,
Die Auseinandersetzung,discussion,,
aushelfen,to help out,,
ausladen,to unload,,
auspacken,to unpack,,
ausschließen,to exclude,,
auswählen,to select,,
Die Baufirma/Baufirmen,construction company,,
beitragen,to contribute,,
beladen,loaded,,
Die Berufschance,career prospect,,
Die Berufsmöglichkeit,career opportunity,,
Die Bildung,education,,
Die Branche,branch,,
Die Buchführung,accounting,,
Das Computerzubehör,computer accessories,,
dienstältere,senior,,
Die Distanz,distance,,
dual,dual,,
durchführen,to carry out,,
duzen,to use the ‘du’ form,,
dynamisch,dynamic,,
einheitlich,standard/uniform,,
einräumen,to concede/grant,,
einsortieren,to sort,,
einzeln,individual,,
entspannt,relaxed,,
Die Fabrik,fabric,,
Die Finanzabteilung,finance department,,
Die Firmenkultur,company culture,,
Die Firmenphilosophie,company philosophy,,
gebrauchen,used,,
Die Gehaltsabrechnung,payslip,,
Die Geschäftsleitung,executive committee,,
gewiss,certain,,
herumgehen,to go around,,
Die Hierarchie,hierarchy,,
ideal,ideal,,
der/die Idiot/in /ugs.,idiot (coll.),,
Das Image,image,,
Die Immobilienbranche,real estate industry,,
Die Immobilienfirma,real estate company,,
Die Informatik,information technology,,
Der Internetauftritt,online presence,,
jedenfalls,anyway,,
der/die Journalist/in,journalist,,
Die Konkurrenz,competition,,
konservativ,conservative,,
Die Kundenzufriedenheit,customer satisfaction,,
Das Laboratorium,laboratory,,
Der Lautsprecher,loud speaker,,
leichtfallen,to be easy for sb,,
Der LKW /= Lastkraftwagen,truck,,
locker,relaxed/loose,,
Die Logistik,logistics,,
Der Lohn,wage,,
Die Lohnabrechnung,payslip,,
Die Marketingabteilung,marketing department,,
der/die Marktleiter/in,market leader,,
Die Marktstudie,market study,,
Die Medienbranche,media industry,,
Das Mediendesign,media design,,
der/die Mediendesigner/in,media designer,,
Die Metallindustrie,metal industry,,
Die Möbelhaus,furniture store,,
Die Pharmaindustrie,pharmaceutical industry,,
plaudern,to chat,,
der/die Praktikant/in,intern,,
Die Produktion,production,,
Die Regelung,regulation,,
respektlos,disrespectful,,
respektvoll,respectful,,
Der Schritt,step,,
Die Sicht,sight,,
siezen,to use the ‘Sie’ form,,
signalisieren,to signal,,
skeptisch,sceptical,,
der/die Sprecher/in,speaker,,
Die Stellung,position,,
suggerieren,to suggest,,
Die Tastatur,keyboard,,
Der Tourismus,tourism,,
Der Transport,transport,,
transportieren,to transport,,
Das Umfeld,environment,,
umkehren,to turn back,,
unkompliziert,uncomplicated,,
unsachlich,unobjective,,
unsicher,uncertain,,
Die Unternehmenskultur,corporate culture,,
Die Unternehmensstruktur,corporate structure,,
verhalten,to behave,,
Der Verkauf,sale,,
Das Verkaufstalent,sales talent,,
Die Vertrautheit,familiarity,,
der/die Vorgesetzte,superior,,
Der Wandel,change,,
Die Webcam,webcam,,
Die Werbestrategie,marketing strategy,,
wirken,to have an effect,,
zielen,to target,,
Die Zuständigkeit,responsibility,,
Das Altenwohnheim,old people’s home,,
Die Altersbegrenzung,age limit,,
ambulant,outpatient,,
Die Angebotserstellung,quote generation,,
anhören,to listen to,,
anrichten,to cause,,
anschließen,to connect,,
Die Arbeitsförderung,employment promotion,,
der/die Arbeitsvermittler/in,employment agency,,
assistieren,to assist,,
aufnehmen,to receive,,
Die Ausbildungsart,type of qualification,,
Der Ausbildungsaufbau,structure of qualification,,
Die Ausbildungsstelle,training institute,,
Die Ausbildungszeit,training period,,
Die Ausschreibung,call for tender,,
Die Bedienung,service,,
Die Behinderung,disability,,
beispielsweise,for example,,
berufsbezogen,career-related,,
Das Berufsbild,job outline,,
Die Berufsfachschule,vocational college,,
berufssprachlich,business language,,
Der Berufstyp,type of occupation,,
Die Beschäftigung,employment,,
beschließen,to resolve,,
bestehen,to persist,,
betreuen,to mentor/oversee,,
betten,to embed,,
der/die Bilanzbuchhalter/in,report accountant,,
Der Bildungsabschluss,educational level,,
Die Branchenkenntnis,industry knowledge,,
Die Buchung,booking,,
Die Bundesagentur für Arbeit /BA,Federal Employment Agency,,
derzeitig,current,,
diagnostisch,diagnostic,,
diesbezüglich,in this regard,,
Die Druckschrift,printed medium,,
Der Eingriff,intervention,,
einleiten,to initiate,,
erbauen,to construct,,
erwünscht,desired,,
Die Facharztpraxis,specialist medical practice,,
Die Familientradition,family tradition,,
Die Festanstellung,permanent job,,
feststellen,to determine,,
fortan,from now on,,
Die Fortbildungsakademie,training academy,,
Das Fremdenzimmer,guest room,,
Der Frühstücksablauf,breakfast times,,
Die Frühstückspension,bed and breakfast,,
frühzeitig,premature,,
fundiert,substantiated,,
Das Gastgewerbe,hospitality industry,,
gelegentlich,occasionally,,
Der Geschäftsablauf,course of business,,
Das Gesundheitszentrum,health centre,,
Der Gesundheitszustand,state of health,,
Die Grundbildung,basic education,,
Die Grundpflege,basic care,,
Die Handelssprache,commercial language,,
hauseigen,in-house,,
Die Internetbewerbung,internet job application,,
Das Internetportal,internet portal,,
jetzig,present-day,,
Die Jobbörse,online job market,,
Die Kompetenz,competency,,
koordinieren,to coordinate,,
Die Körperpflege,personal hygiene,,
Der Kredit,loan,,
Die Kurzzeitpflege,short-term care,,
Die Maßnahme,measure,,
Das Messehotel,conference hotel,,
Der Mikrokredit,micro loan,,
nachlesen,to read up on,,
der/die Näher/in,tailor/seamstress,,
Die Nähmaschine,sewing machine,,
Die Nahrungsaufnahme,food intake,,
Das Onlineportal,online portal,,
operativ,operational,,
Die Organisationsaufgabe,organisational task,,
Die Pension,guesthouse,,
der/die Personalchef/in,head of personnel,,
der/die Pflegebedürftige/r,care-dependent person,,
Der Pflegedienst,care service,,
Das Pflegeheim,care home,,
Die Pflegemaßnahme,care measure,,
Das Porträtfoto,portrait photo,,
Die Primarschule,primary school,,
reibungslos,without a hitch,,
Die Reinigungskraft,cleaner,,
Das Resort,resort,,
Der Schichtdienst,shift work,,
Die Schneiderei,tailor’s,,
schulisch,educational,,
Die Sekundarschule,secondary school,,
Die selbstständig,independent,,
sowie,just as,,
Die Sprachförderung,language development,,
Die Sprachkenntnis,language skill,,
staatlich,state,,
Der Steckbrief,profile,,
Die Stellenausschreibung,job advertisement,,
Der Stellenmarkt,job market,,
Das Stellenportal,online job portal,,
täglich,daily,,
therapeutisch,therapeutic,,
umbenennen,to rename,,
umsiedeln,to relocate,,
Der Umstand,circumstance,,
unliniert,unlined,,
Die Veränderung,modification,,
Die Verfolgung,pursuit,,
vergrößern,to enlarge,,
verkürzen,to shorten,,
Die Verwaltungsaufgabe,administrative task,,
voraussetzen,to require,,
vorwärtskommen,to make progress,,
wegschicken,to send away,,
weiterführen,to continue with,,
Der Wellnessbereich,wellness area,,
Der Weltkrieg,world war,,
wesentlich,significant,,
Das Wohnheim,hostel/hall of residence,,
Das Zimmermädchen,maid,,
Der Zimmerservice,room service,,
zudem,moreover,,
abarbeiten,to work through/process,,
Der Ablauf,process,,
abräumen,to clear up,,
Die Aktion,special offer,,
alleinerziehend,single (parent),,
anpflanzen,to plant,,
anschließend,subsequent,,
der/die Arbeitnehmer/in,employee,,
Der Arbeitsablauf,workflow,,
Die Arbeitsbedingung,working condition,,
Das Arbeitspensum,workload,,
Der Arbeitsschritt,work stage,,
Die Aufstiegschance,promotion prospect,,
Der Ausdruck,expression,,
aussagen,to state,,
Der Außentermin,external appointment,,
Der Beitrag,contribution,,
Das Betreuungsangebot,care offer,,
Der Betreuungsplatz,place in childcare,,
Der Betriebskindergarten,company nursery,,
Das Betriebsklima,working atmosphere,,
Das Bewerbungsgespräch,job interview,,
bewerten,to evaluate,,
bezeichnen,to designate,,
Der Blog,blog,,
der/die Doktorand/in,doctor (phd),,
Der Druck,pressure,,
Der Eindruck,impression,,
enorm,enormous,,
Die Erreichbarkeit,contactability,,
erstellen,to create,,
der/die Erzieher/in,youth care worker,,
familienfreundlich,family-friendly,,
freiberuflich,freelance,,
Die Frühschicht,early shift,,
Der Frühstücksraum,breakfast room,,
fürchten,to fear,,
Die Ganztagsschule,full-time school,,
geeignet,suitable,,
gelaunt,in a (good/bad) mood,,
der/die Geologe/Geologin,geologist,,
gering,low,,
Die Gleitzeit,flexible working hours,,
Die Grundlage,basis,,
heutig,contemporary,,
Der Hut,hat,,
insbesondere,especially,,
Die Kernzeit,core working hours,,
Die Kinderbetreuung,childcare,,
Die Kleinigkeit,small detail,,
kriegen /ugs.,to get (coll.),,
kritisieren,to criticise,,
Das Kuscheltier,stuffed animal,,
der/die Lagerist/in,warehouseman,,
langweilen,to be bored,,
leisten,to provide/achieve,,
Das Lieblingsstofftier,favourite stuffed animal,,
Der Link,link,,
Das Lob,praise,,
logisch,logical,,
Die Lohnerhöhung,pay increase,,
Die Mandel,almond,,
Die Maschine,machine,,
mitbestimmen,to participate,,
monoton,monotonous,,
Die Nachtschicht,night shift,,
notwendig,necessary,,
nützlich,useful,,
Die Nutzung,use,,
ordentlich,tidy,,
organisatorisch,organisational,,
parallel,parallel,,
passend,appropriate,,
platt,flat,,
posten,to post,,
Die Priorität,priority,,
rausschmeißen /ugs.,to chuck out (coll.),,
Die Region,region,,
registrieren,to register,,
regulär,regular,,
Die Routine,routine,,
sachlich,objective,,
Die Schicht,shift,,
Die Schichtarbeit,shift work,,
schildern,to portray,,
Die Schürze,apron,,
Die Schwierigkeit,difficulty,,
Die Skala,scale,,
Die Sozialleistung,social benefit,,
Die Stimmung,mood,,
Die Tagesmutter,child minder,,
Die Tätigkeit,activity,,
Der Tod,death,,
überfordert,overwhelmed,,
überleben,to survive,,
überwachen,to observe,,
umsehen,to look around,,
umsonst,for nothing,,
unterfordert,not challenged enough,,
untersuchen,to examine,,
unüberlegt,rash,,
unwichtig,unimportant,,
Die Unzufriedenheit,dissatisfaction,,
die Vereinbarkeit,compatibility,,
das Verhältnis,relationship,,
verhandeln,to negotiate,,
Die Verhandlung,negotiation,,
verschenken,to gift/give away,,
vertraglich,contractual,,
vervollständigen,to complete,,
vorgehen,to approach,,
Die Wechselschicht,alternate shift,,
weitermachen,to continue,,
Die Zufriedenheit,satisfaction,,
zunächst,first,,
Der Zwilling,twin,,
abbauen,to break down,,
abhalten,to prevent,,
abmontieren,to dissemble,,
Die Abreise,departure,,
Der Abwasserschacht,manhole (waste water shaft),,
Der Alaskaseelachs,alaska pollack,,
anbringen,to affix,,
Die Anreise,arrival,,
anreisen,to arrive,,
anschrauben,to screw on,,
Der Arbeitsabschnitt,work section,,
Die Arbeitsanweisung,work instruction,,
Der Arbeitsbereich,work area,,
Die Arbeitsplatzbeschreibung,job description,,
Der Arbeitsprozess,working process,,
Die Artischocke,artichoke,,
Der Arztbesuch,visit to the doctor,,
Die Aufforderung,prompt,,
auffüllen,to fill up,,
aufstemmen,to prise open,,
Die Auftragsbestätigung,order confirmation,,
Die Aufzeichnung,recording,,
auslegen,to interpret,,
ausleihen,to lend,,
ausrechnen,to calculate,,
Das Baubüro,site office,,
Der Bauplan,blueprint,,
Der Beifahrersitz,front passenger seat,,
Die Beilage,supplement/side dish,,
Die Bemerkung,remark,,
Die Bequemlichkeit,comfort,,
betanken,refuelling,,
Der Beton,concrete,,
der/die Betriebsrat,supervisory board member,,
bevorzugen,to favour,,
beziehen,to obtain,,
Der Bohrhammer,drill hammer,,
Die Buchungsbestätigung,booking confirmation,,
Die Buchungsnummer,booking number,,
checken,to check,,
Der Dachboden,attic,,
dennoch,however,,
derartig,of its type,,
Die Dienstleistung,service,,
dokumentieren,to document,,
Die Dropbox,dropbox,,
durchgehen,to go through,,
durchschauen,to look through,,
Der Eingang,inbox,,
einpflegen,to update,,
entfernt,(distance) away,,
Das Entrecôte,entrecôte steak,,
erkranken,to fall ill,,
erreichbar,contactable,,
Die Etage,floor (of a building),,
extern,external,,
Der Fahrersitz,driver’s seat,,
Die Fahrgemeinschaft,car sharing,,
festgehalten,held tight,,
der/die Firmenkunde/Firmenkundin,company client,,
Der Firmentransporter,company transporter/van,,
Die Flugverbindung,connection (flight),,
föhnen,to hair dry,,
freinehmen,to take leave,,
fußläufig,within walking distance,,
Das Gasrohr,gas pipe,,
Der Gasthof,guest house,,
gegebenenfalls,as applicable,,
Die Geschäftsreise,business trip,,
Das Gewerbegebiet,industrial estate,,
Die Halterung,bracket,,
handeln,to trade,,
Die Hauspost,internal mail,,
Der Heizkörper,radiator,,
Der Heizungsanschluss,heating connection,,
Das Heizungsrohr,heating pipe,,
Die Heizungstherme,heater,,
Das Hotelbuchungsportal,hotel booking portal,,
Die Hotelkategorie,hotel category,,
der Innenhof,inner courtyard,,
die Inventur,inventory,,
jeweilig,respective,,
Die Kabeltrommel,cable reel,,
Der Kalbsbraten,roast veal,,
Der Karton,package,,
Die Kiste,box,,
kleinschrittig,in small steps,,
Die Klimaanlage,air conditioning system,,
komplex,complex,,
Die Kundenunterlagen /Pl.,customer records,,
Die Kurpackung,cure package,,
kurzfristig,short-term,,
Das Lamm,lamb,,
Das Lammcarré,lammcarré,,
lehnen,to lean,,
Die Leitung,line,,
Die Lieferadresse,delivery address,,
Der Lieferschein,delivery slip,,
Der Lieferwagen,delivery van,,
Das Lüftungsrohr,ventilation pipe,,
der/die Maurer/in,wall builder,,
Das Meeting,meeting,,
Der Mietautoservice,car rental service,,
mittellang,mid-length,,
Die Montageanleitung,assembly instruction,,
montieren,to assemble,,
Die Notwendigkeit,necessity,,
oftmals,oftentimes,,
Die Onlinesuche,online search,,
Die Organisation,organisation,,
Die Präsentation,presentation,,
Der Probedurchlauf,dry-run,,
Der Probelauf,test run,,
Die Qualitätssicherung,quality assurance,,
rausfahren /ugs.,to drive out (coll.),,
raussuchen /ugs.,to choose (coll.),,
Die Reaktion,reaction,,
Die Reinigungsperson,member of cleaning staff,,
Die Reiseroute,itinerary,,
restlich,remaining/left-over,,
Die Richtlinie,guideline,,
Das Rind,beef,,
Die Rohrdämmung,tubing insulation,,
runterfahren /ugs.,to turn off (coll.),,
runterladen /ugs.,to download (coll.),,
Der Schichtwechsel,shift change,,
Der Schlitz,slit,,
Der Schnitt,cut,,
schrauben,to screw,,
Die Schulung,training,,
Der Seifenspender,soap dispenser,,
Die Sicherungskopie,backup copy,,
spontan,spontaneous,,
Der Stick,usb stick,,
Das Suchergebnis,search result,,
Das System,system,,
Die Tagessuppe,soup of the day,,
Die Tagung,convention,,
Der Takt,pace,,
Die Therme,spa,,
Das Toilettenpapier,toilet paper,,
unangenehm,unpleasant,,
unpassend,unsuitable,,
Die Verbindlichkeit,liability,,
Das Verbindungsstück,connecting piece,,
verneinen,to deny,,
verschließen,to seal,,
der/die Vertreter/in,representative,,
der/die Vorarbeiter/in,foreman,,
Die Vorgabe,specification,,
Das vorlegen,approach,,
Das Waschbecken,to provide,,
Der Wäschereiservice,sink,,
Wasserrohr,laundry service,,
Wegbeschreibung,water pipe,,
wischen,description of the route,,
Das WLAN/WLANs,to wipe,,
Der Zementsack,wifi,,
Zementsäcke,cement sack,,
Die Zimmerkategorie,room category,,
zusenden,to submit,,
Die Zwischenzeit,interim period,,
Die Abbildung,illustration,,
Der Aufhänger,trailer (vehicle),,
ausführlich,in-depth,,
der/die Außendienstmitarbeiter/in,field agent,,
der/die Aussteller/in,exhibitor,,
Das Baddesign,bathroom design,,
Der Bau,construction,,
bedenken,to consider,,
begleiten,to accompany,,
beruhigen,to calm,,
beschäftigen,to occupy,,
besorgen,to provide,,
Die Besorgung,provision,,
der/die Besucher/in,visitor,,
betragen,to amount to,,
Das Datenblatt,data sheet,,
derzeit,currently,,
dreijährig,three-year,,
durchfahren,to pass through,,
ebenfalls,likewise,,
Die Eigenschaft,characteristic,,
Die Einkaufsabteilung,purchasing department,,
Die Einzelheit,detail,,
energieeffizient,energy-efficient,,
erläutern,to clarify,,
Die Erlebniswelt,theme park,,
erneuerbar,renewable,,
erstaunlich,astonishing,,
erweitern,to expand,,
Die Fachmesse,trade fair,,
Der Flyer,flyer,,
Der Geschäftsbrief,business letter,,
der/die Gesprächspartner/in,conversational partner,,
gezielt,targeted,,
Das Give-away,give-away,,
der/die Großhändler/in,wholesaler,,
Die Handtasche,handbag,,
hauptsächlich,mainly,,
Der Heimweg,way home,,
Die Heizungsanlage,heating unit,,
Die Höhe,height,,
Die Industrieanlage,industrial plant,,
Die Kappe,cap,,
Die Klimatechnik,air conditioning technology,,
Der Kongress,congress,,
der/die Konkurrent/in,rival,,
konkurrenzfähig,competitive,,
Kontakte knüpfen,to make contacts,,
das/der Kundencenter,customer service center,,
Das Kundengespräch,customer meeting,,
Die Leistungsschau,exhibition,,
Die Lieferzeit,delivery time,,
Das Login,log-in,,
Das Maß,extent,,
Die Messe,trade fair,,
Das Messegelände,trade fair grounds,,
Der Messestand,trade fair stand,,
Die Mitte,middle,,
Die Mühe, sich Mühe geben,effort, to make an effort
Die Neuheit,novelty,,
Der Nordwesten,northwest,,
orientieren,to orient,,
Das Partnerland,partner country,,
Das PDF,pdf,,
platzsparend,space-saving,,
Das Poster,poster,,
Der Posteraufhänger,poster hanger,,
Das PPT /= PowerPoint,ppt (= powerpoint),,
Die Präsenz,presence,,
premium,premium,,
Der Prospektständer,brochure rack,,
Die Saison,season,,
Die Sanitäranlage,sanitary facility,,
Die Sanitäreinrichtung,sanitary installation,,
schiefgehen /ugs.,to go wrong (coll.),,
Das Silikon,silicone,,
Der Small Talk,small talk,,
sodass,so that,,
Die Sommersaison,summer season,,
Das Sortiment,assortment,,
Der Ständer,stand,,
Der Sticker,sticker,,
Das Stoffmuster,fabric pattern,,
Die Übersicht,overview,,
Der Veranstalter/in,event organiser,,
Die Vereinbarung,agreement,,
Das Vergnügen,pleasure,,
Das Verkaufsgespräch,sales pitch,,
vertreten,to represent,,
Die Visitenkarte,business card,,
Die Wartung,maintenance,,
Der Wartungsvertrag,maintenance contract,,
weltgrößte,world’s biggest,,
Die Weltleitmesse,world-leading conference,,
Der Werbeslogan,advertising slogan,,
der/die Wettbewerber/in,competitor,,
wettbewerbsfähig,competitive,,
Die Zahlungsbedingung,payment conditions,,
Der Zentimeter,centimetre,,
zentral,central,,
zusammenfassen,to summarise,,
abgehen,to leave,,
allgemeinbildend,of general educational value,,
Die Änderungsschneiderei,tailor’s,,
ängstlich,anxious,,
Argen, im Argen liegen,bad, to be in a sorry state
Der Berufsabschluss,vocational qualification,,
Die Berufsbildungsreife,vocational education certificate,,
bescheiden,modest,,
Die Bildungseinrichtung,educational facility,,
Der Bildungsserver,education server,,
böse, jmdm. böse sein (ugs.),nasty, be angry with sb
drängen,to urge,,
durchmogeln /ugs.,to muddle through (coll.),,
durchsetzen,to carry out,,
Das Erwachsenenalter,adulthood,,
erwerben,to gain,,
existieren,to exist,,
Der Fakt,fact,,
familiär,familial,,
Der Fernunterricht,distance learning,,
Die Hochschule,university/college,,
Die Hochschulreife,higher education entrance qualification,,
Die Hoffnung,hope,,
der/die Industrieschneider/in,industrial tailor/seamstress,,
investieren,to invest,,
Das Jugendalter,adolescence,,
kämpfen,to tackle,,
mangelnd,insufficient,,
Die Mittlere Reife,school leaving certificate,,
Die Motivation,motivation,,
nachholen,to resit,,
örtlich,local,,
prägen,to shape,,
qualifiziert,qualified,,
Die Rechtschreibschwäche,spelling disability,,
schwerfallen,to find something difficult,,
Der Sekundarabschluss,secondary qualification,,
selbstbewusst,self-confident,,
stolz,proud,,
theoretisch,theoretical,,
Die Unterstützung,support,,
verraten,to betray,,
verständnisvoll,understanding,,
weiterbringen,to further,,
Weiterentwicklung,further development,,
wissenschaftlich,scientific,,
Die Zugangsvoraussetzung,entrance requirement,,
Der Afrorap,Afro rap,,
aneignen,to assimilate,,
Die Aufräumarbeit,clean-up work,,
Die Beanspruchung,claim,,
beherzigen,to take to heart,,
Die Belastungssituation,load situation,,
Die Belohnung,reward,,
beteiligen,to participate,,
Der Bewegungsdrang,urge to move,,
Der Burnout,burnout,,
Der Dauerzustand,permanent state,,
Die Delegation,delegation,,
Die Depression,depression,,
durchgeplant,well-planned,,
Der Einsatz,operation,,
ereignen,to happen,,
extrem,extreme,,
geradewegs,straightaway,,
gespült,rinsed,,
gestresst,stressed,,
gewöhnen,to get used to,,
Die Hausarbeit,homework,,
heben,to lift,,
komplett,complete,,
körperlich,physically,,
Das Lächeln,to smile,,
Das Lot, im Lot sein,plumb, to be in balance
Die Mahlzeit,mealtime,,
Die Managerkrankheit,executive burnout,,
Das Menschenleben,human life,,
Die Not,emergency,,
der/die Notfallsanitäter/in,emergency paramedic,,
Die Notsituation,emergency situation,,
permanent,permanent,,
pflegebedürftig,in need of care,,
Das Privatleben,private life,,
psychisch,psychological,,
Der Rap,rap,,
Die Rettungskraft,rescue team,,
schätzen,to estimate/appreciate,,
der/die Schwiegervater/mutter,stepfather/stepmother,,
Der Tinnitus,self doubt,,
Der Selbstzweifel,stress factor,,
Der Stressfaktor,stress resistance,,
Die Stressresistenz,syndrome,,
Das Syndrom,tinnitus,,
umsetzen,to implement,,
Der Unfallort,accident scene,,
ungeplant,unplanned,,
unterscheiden,to differ,,
veranschlagen,to estimate,,
Der Verkehrsunfall,traffic accident,,
vernachlässigen,to neglect,,
versterben,to pass away,,
wegstecken,to put away/hide,,
Das Wochenendseminar,weekend seminar,,
Die Work-Life-Balance,work-life balance,,
zurückziehen,to withdraw,,
zutrauen,to dare/feel up to,,
zweijährig,two-year,,
Die Analyse/Analysen,analysis,,
der/die Ansprechpartner/in,contact person,,
ausstrahlen,to radiate,,
Die Ausstrahlung,radiance,,
bewundern,to admire,,
der/die Buchhalter/in,accountant,,
Die Fachkenntnis,expert knowledge,,
fleißig,hard-working,,
Die Gelassenheit,composure,,
Die Hard Skills /Pl.,hard skills (pl.),,
methodisch,methodical,,
Das Motivationsschreiben,letter of motivation,,
Die Persönlichkeit,personality,,
der/die Psychologe/Psychologin,psychologist,,
Die Putzkraft,member of cleaning staff,,
schüchtern,shy,,
Die Schüchternheit,shyness,,
Schwäche,weakness,,
Selbstbewusstsein,self-confidence,,
Selbstvertrauen,weakness,,
die Soft Skills /Pl.,soft skills (pl.),,
souverän,sovereign,,
Die Stärkung,reinforcement,,
überwinden,to overcome,,
Die Unterrichtseinheit,unit,,
Das Volkshochschulprogramm ,evening classes programme,,
zugehen,to approach,,
